方案,总收益,年化,年化波动,夏普,最大回撤
v1.1双周,3.2068141388892686,0.22123297994132574,0.19358001492817078,1.1304317675141675,-0.21291062068619382
v1.0周度,2.4346721923044354,0.18726407570799997,0.1988261150774148,0.9639277675538356,-0.2675919325085452
等权持有,1.3413810219368023,0.12563473527278735,0.18829852059734387,0.7232170051096924,-0.27861388642439633
沪深300,0.2617827618587534,0.03287562207339434,0.18438538713914862,0.26778708041335314,-0.45602577259234267
