方案,总收益,年化,年化波动,夏普,最大回撤,卡玛
v1.1双周(改进),3.2068141388892686,0.22123297994132574,0.19358001492817084,1.1304317675141695,-0.2129106206861937,1.039088511546816
v1.0周度(原版),2.4346721923044354,0.18726407570799997,0.19882611507741477,0.9639277675538357,-0.2675919325085452,0.6998121129904391
双周+熔断(误伤对照),1.4758943722350253,0.1344159187425089,0.17368076696279336,0.8139314675186201,-0.2319511631009893,0.5795009472920191
等权买入持有(基准),1.3413810219368023,0.12563473527278735,0.18829852059734387,0.7232170051096931,-0.27861388642439633,0.4509277584298697
沪深300,0.2617827618587534,0.03287562207339434,0.18438538713914868,0.26778708041335275,-0.45602577259234267,0.07209158790852596
