date,银行股轮动,银行股等权持有,沪深300
2018-04-27,1.0,1.0,1.0
2018-05-02,1.0,0.9972759791350382,1.0018020272140713
2018-05-03,1.0,0.9928226686882549,1.0096143608526225
2018-05-04,1.0,0.9808718500201529,1.0047166797981304
2018-05-07,1.0,0.9924089406955805,1.0205782457784118
2018-05-08,1.0,1.0133282338025895,1.0324205191541918
2018-05-09,1.0,1.0149755558030187,1.0305413002278485
2018-05-10,1.0,1.0167769363882917,1.0362481633696046
2018-05-11,1.0,1.0246349714230096,1.030866037776027
2018-05-14,1.0,1.0363699692440036,1.0405682374736482
2018-05-15,1.0,1.0325093998198314,1.044510338365878
2018-05-16,1.0,1.007962597559064,1.0361896041396053
2018-05-17,1.0,1.0056180973835966,1.0285263303592342
2018-05-18,1.0,1.027446765145575,1.0389099465513936
2018-05-21,1.0,1.0281100148735827,1.0437490683758863
2018-05-22,1.0,1.0135936996889043,1.0397484082536572
2018-05-23,1.0,0.9910516054080478,1.0260056216860798
2018-05-24,1.0,0.9820153549301543,1.0187229829007047
2018-05-25,1.0,0.9817863371532344,1.0158695513298268
2018-05-28,1.0,0.9759994997247015,1.0203306999425055
2018-05-29,1.0,0.9740378458911805,1.0125449841357723
2018-05-30,1.0,0.9400707376919318,0.9910803645578246
2018-05-31,1.0,0.9554219787173941,1.0121111134771406
2018-06-01,1.0,0.9560143681661795,1.003649304742233
2018-06-04,1.0,0.9704616334541862,1.0134952407316709
2018-06-05,1.0,0.9656157684279275,1.0235408104597432
2018-06-06,1.0,0.9534419483501181,1.0214193692638571
2018-06-07,1.0,0.9625038242814303,1.019731798726603
2018-06-08,1.0,0.9321121362243182,1.0060528949553884
2018-06-11,1.0,0.935136090253799,1.006148719149933
2018-06-12,1.0,0.9358071481109835,1.0183849364366175
2018-06-13,1.0,0.9254976402210592,1.0083739698899086
2018-06-14,1.0,0.9282180564545652,1.0043892804667702
2018-06-15,1.0,0.9421271178321254,0.9990816848022827
2018-06-19,1.0,0.9232263706345971,0.9638636315240305
2018-06-20,1.0,0.9114927778335097,0.9676753050403526
