策略,总收益,年化,年化波动,夏普,最大回撤,卡玛
小市值优化版,0.4361136923716491,0.05163887558639879,0.15809104126982723,0.39770878409993843,-0.22637483855942986,0.22811225803631932
ETF轮动v1.1,3.2068141388892686,0.22123297994132574,0.19358001492817078,1.1304317675141675,-0.21291062068619382,1.0390885115468154
双均线优化版,0.09694759655894036,0.012955302514164213,0.13349647291239503,0.16354015651555606,-0.2791104430939584,0.046416401946676726
沪深300基准,0.2617827618587534,0.03287562207339434,0.18438538713914868,0.26778708041335275,-0.45602577259234267,0.07209158790852596
