date,优化版,朴素版,买入持有
2018-04-27,1.0,1.0,1.0
2018-05-02,1.0,1.0,1.0018020272140713
2018-05-03,1.0,1.0,1.0096143608526225
2018-05-04,1.0,1.0,1.0047166797981304
2018-05-07,1.0,1.0,1.0205782457784118
2018-05-08,1.0,1.0,1.0324205191541918
2018-05-09,1.0,1.0,1.0305413002278485
2018-05-10,1.0,1.0,1.0362481633696046
2018-05-11,1.0,1.0,1.030866037776027
2018-05-14,1.0,1.0,1.0405682374736482
2018-05-15,1.0,1.0,1.044510338365878
2018-05-16,1.0,1.0,1.0361896041396053
2018-05-17,1.0,1.0,1.0285263303592342
2018-05-18,1.0,1.0,1.0389099465513936
2018-05-21,1.0,1.0,1.0437490683758863
2018-05-22,1.0,1.0,1.0397484082536572
2018-05-23,1.0,1.0,1.0260056216860798
2018-05-24,1.0,1.0,1.0187229829007047
2018-05-25,1.0,1.0,1.0158695513298268
2018-05-28,1.0,1.0,1.0203306999425055
2018-05-29,1.0,1.0,1.0125449841357723
2018-05-30,1.0,1.0,0.9910803645578246
2018-05-31,1.0,1.0,1.0121111134771406
2018-06-01,1.0,1.0,1.003649304742233
2018-06-04,1.0,1.0,1.0134952407316709
2018-06-05,1.0,1.0,1.0235408104597432
2018-06-06,1.0,1.0,1.0214193692638571
2018-06-07,1.0,1.0,1.019731798726603
2018-06-08,1.0,1.0,1.0060528949553884
2018-06-11,1.0,1.0,1.006148719149933
2018-06-12,1.0,1.0,1.0183849364366175
2018-06-13,1.0,1.0,1.0083739698899086
2018-06-14,1.0,1.0,1.0043892804667702
2018-06-15,1.0,1.0,0.9990816848022827
2018-06-19,1.0,1.0,0.9638636315240305
2018-06-20,1.0,1.0,0.9676753050403526
2018-06-21,1.0,1.0,0.956370711867294
2018-06-22,1.0,1.0,0.9606109324758842
2018-06-25,1.0,1.0,0.9477225783096612
2018-06-26,1.0,1.0,0.9399049211047465
2018-06-27,1.0,1.0,0.9207800089435916
2018-06-28,1.0,1.0,0.911269457635059
2018-06-29,1.0,1.0,0.9345467515598049
2018-07-02,1.0,1.0,0.9071250612210132
2018-07-03,1.0,1.0,0.9074764166010094
2018-07-04,1.0,1.0,0.8953573177743234
2018-07-05,1.0,1.0,0.8896850578139307
2018-07-06,1.0,1.0,0.8957219820702285
2018-07-09,1.0,1.0,0.9207587146781371
2018-07-10,1.0,1.0,0.9229786418517493
2018-07-11,1.0,1.0,0.9070106045441962
2018-07-12,1.0,1.0,0.9265826962798918
2018-07-13,1.0,1.0,0.9296783501203126
2018-07-16,1.0,1.0,0.924195076765827
2018-07-17,1.0,1.0,0.9181501671599838
2018-07-18,1.0,1.0,0.9133429867336726
2018-07-19,1.0,1.0,0.9125497753454994
2018-07-20,1.0,1.0,0.9297315857839483
2018-07-23,1.0,1.0,0.9384782053193075
2018-07-24,1.0,1.0,0.9533735440045995
2018-07-25,1.0,1.0,0.952319477864611
2018-07-26,1.0,1.0,0.9412730776601861
2018-07-27,1.0,1.0,0.9372750793211388
2018-07-30,1.0,1.0,0.9356380826643385
2018-07-31,1.0,1.0,0.93632482272524
2018-08-01,1.0,1.0,0.9176204723068078
2018-08-02,1.0,1.0,0.8972764634483933
2018-08-03,1.0,1.0,0.8824556546921914
2018-08-06,1.0,1.0,0.8712735035454952
2018-08-07,1.0,1.0,0.8967201507633994
2018-08-08,1.0,1.0,0.8822506973871936
2018-08-09,1.0,1.0,0.9043488213624071
2018-08-10,1.0,1.0,0.9063424969655671
2018-08-13,1.0,1.0,0.9024349992547007
2018-08-14,1.0,1.0,0.8977955111688422
2018-08-15,1.0,1.0,0.8762536998786227
2018-08-16,1.0,1.0,0.8721944805263943
2018-08-17,1.0,1.0,0.8596548199569856
2018-08-20,1.0,1.0,0.8696711100700582
2018-08-21,1.0,1.0,0.8854821021698857
2018-08-22,1.0,1.0,0.8805045676199399
2018-08-23,1.0,1.0,0.8837200017035413
2018-08-24,1.0,1.0,0.8851307467898895
2018-08-27,1.0,1.0,0.9067550733587445
2018-08-28,1.0,1.0,0.9050515321223994
2018-08-29,1.0,1.0,0.9014315069951662
2018-08-30,1.0,1.0,0.8919875002661783
2018-08-31,1.0,1.0,0.8875716019675901
2018-09-03,1.0,1.0,0.8841964608930815
2018-09-04,1.0,1.0,0.8953972445220502
2018-09-05,1.0,1.0,0.8778933583186047
2018-09-06,1.0,1.0,0.8685079108196163
2018-09-07,1.0,1.0,0.872436702795937
2018-09-10,1.0,1.0,0.8597746002001662
2018-09-11,1.0,1.0,0.8582147952556376
2018-09-12,1.0,1.0,0.8523082983752475
2018-09-13,1.0,1.0,0.861504759268329
2018-09-14,1.0,1.0,0.8629740635846767
2018-09-17,1.0,1.0,0.8530802154979664
2018-09-18,1.0,1.0,0.8702513788036881
2018-09-19,1.0,1.0,0.8817103554012904
2018-09-20,1.0,1.0,0.8810848363535699
2018-09-21,1.0,1.0,0.9077984923660057
2018-09-25,1.0,1.0,0.899629479781095
2018-09-26,1.0,1.0,0.9095951960137134
2018-09-27,1.0,1.0,0.9059618619705714
2018-09-28,1.0,1.0,0.9153499712527416
2018-10-08,1.0,1.0,0.8759662272949894
2018-10-09,1.0,1.0,0.8753779732118141
2018-10-10,1.0,1.0,0.8734907689359255
2018-10-11,1.0,1.0,0.8315703456059284
2018-10-12,1.0,1.0,0.8439795787994293
2018-10-15,1.0,1.0,0.8321932028704669
2018-10-16,1.0,1.0,0.8254109793232681
2018-10-17,1.0,1.0,0.8300105406613999
2018-10-18,1.0,1.0,0.8103506100807052
2018-10-19,1.0,1.0,0.8344557185749877
2018-10-22,1.0,1.0,0.8704749685909584
2018-10-23,1.0,1.0,0.8473600434403015
2018-10-24,1.0,1.0,0.8486297140180149
2018-10-25,1.0,1.0,0.850256063542088
2018-10-26,1.0,1.0,0.8447541577053299
2018-10-29,1.0,1.0,0.8190014054215199
2018-10-30,1.0,1.0,0.8278837758991504
2018-10-31,1.0,1.0,0.8394785034390239
2018-11-01,1.0,1.0,0.8456565022039565
2018-11-02,1.0,1.0,0.8757932113881731
2018-11-05,1.0,1.0,0.8684972636868892
2018-11-06,1.0,1.0,0.8632562126019463
2018-11-07,1.0,1.0,0.8576025851238261
2018-11-08,1.0,1.0,0.8551697152956709
2018-11-09,1.0,1.0,0.8431038521326206
2018-11-12,1.0,1.0,0.8531387747279657
2018-11-13,1.0,1.0,0.861720363706054
2018-11-14,1.0,1.0,0.8530855390643299
2018-11-15,1.0,1.0,0.8630485935137667
2018-11-16,1.0,1.0,0.8671211217819041
2018-11-19,1.0,1.0,0.8769510870722514
2018-11-20,1.0,1.0,0.8566709610101999
2018-11-21,1.0,1.0,0.8588216818210855
2018-11-22,1.0,1.0,0.8556115713038478
2018-11-23,1.0,1.0,0.8367262196290539
2018-11-26,1.0,1.0,0.836129980196333
2018-11-27,1.0,1.0,0.8350652669236174
2018-11-28,1.0,1.0,0.8461622410084964
2018-11-29,1.0,1.0,0.8351744000340708
2018-11-30,1.0,1.0,0.8445012883030599
2018-12-03,1.0,1.0,0.8679941866655309
2018-12-04,1.0,1.0,0.8697935520964204
2018-12-05,1.0,1.0,0.8656118907178296
2018-12-06,1.0,1.0,0.8468915696003066
2018-12-07,1.0,1.0,0.8468622899853069
2018-12-10,1.0,1.0,0.837066927876323
2018-12-11,1.0,1.0,0.8410755733480973
2018-12-12,1.0,1.0,0.8439476374012479
2018-12-13,1.0,1.0,0.857011669257469
2018-12-14,1.0,1.0,0.8426965993058069
2018-12-17,1.0,1.0,0.8414428994271842
2018-12-18,1.0,1.0,0.8327202359404612
2018-12-19,1.0,1.0,0.8227917846723878
2018-12-20,1.0,1.0,0.8164806967483657
2018-12-21,1.0,1.0,0.8063605970912033
2018-12-24,1.0,1.0,0.8087029662911777
2018-12-25,1.0,1.0,0.8031345158748749
2018-12-26,1.0,1.0,0.7990752965226465
2018-12-27,1.0,1.0,0.7960089222972254
2018-12-28,1.0,1.0,0.8013697536253487
2019-01-02,1.0,1.0,0.7904271629650135
2019-01-03,1.0,1.0,0.7891761248695727
2019-01-04,1.0,1.0,0.8080827708098208
2019-01-07,1.0,1.0,0.8129884372138584
2019-01-08,1.0,1.0,0.8112316603138774
2019-01-09,1.0,1.0,0.8194246289474244
2019-01-10,1.0,1.0,0.8178834564851686
2019-01-11,1.0,1.0,0.8237633355337408
2019-01-14,1.0,1.0,0.8165765209429101
2019-01-15,1.0,1.0,0.8326031174804625
2019-01-16,1.0,1.0,0.8327787951704606
2019-01-17,1.0,1.0,0.828192542748238
2019-01-18,1.0,1.0,0.8432981623048913
2019-01-21,1.0,1.0,0.8479482975234769
2019-01-22,1.0,1.0,0.8366836310981453
2019-01-23,1.0,1.0,0.8360794063158792
2019-01-24,1.0,1.0,0.8407987478971913
2019-01-25,1.0,1.0,0.8476368688912075
2019-01-28,1.0,1.0,0.8474532058516642
2019-01-29,1.0,1.0,0.8501655629139072
2019-01-30,1.0,1.0,0.8433806775835267
2019-01-31,1.0,1.0,0.8522044888311577
2019-02-01,1.0,1.0,0.8643874704542067
2019-02-11,1.0,1.0,0.880110623709035
2019-02-12,1.0,1.0,0.8864643001639658
2019-02-13,1.0,1.0,0.9042157322033176
2019-02-14,1.0,1.0,0.9055759034092118
2019-02-15,1.0,1.0,0.8886895509039415
2019-02-18,1.0,1.0,0.9171812780818125
2019-02-19,1.0,1.0,0.9155496049913758
2019-02-20,1.0,1.0,0.91882892187134
2019-02-21,1.0,1.0,0.9163747577777305
2019-02-22,1.0,1.0,0.9369796213879602
2019-02-25,1.0589752451620968,1.0589752451620968,0.9927067140818977
2019-02-26,1.0462572519751618,1.0462572519751618,0.9807845872106642
2019-02-27,1.0444683848825587,1.0444683848825587,0.9791076638061369
2019-02-28,1.0419071815214032,1.0419071815214032,0.9767067353761631
2019-03-01,1.0647194961594555,1.0647194961594555,0.9980915014586572
