date,优化版,朴素版,买入持有
2020-07-17,1.119567027793322,1.119567027793322,1.2097006026277122
2020-07-20,1.1529714965082591,1.1529714965082591,1.245794382572773
2020-07-21,1.1556172486763892,1.1556172486763892,1.2486531377100147
2020-07-22,1.161384200096866,1.161384200096866,1.254884372138583
2020-07-23,1.1608890453614897,1.1608890453614897,1.2543493537190433
2020-07-24,1.1099324498328413,1.1099324498328413,1.199290368603735
2020-07-27,1.1155639111515985,1.1155639111515985,1.205375204957305
2020-07-28,1.1253709310597229,1.1253709310597229,1.2159717638040075
2020-07-29,1.1526537106333163,1.1526537106333163,1.2454510125423224
2020-07-30,1.1470222493145592,1.1470222493145592,1.2393661761887522
2020-07-31,1.1566050946907471,1.1566050946907471,1.2497205127659121
2020-08-03,1.175391413158307,1.175391413158307,1.2700192713102363
2020-08-04,1.17649750507962,1.17649750507962,1.2712144119588595
2020-08-05,1.1768202178673528,1.1768202178673528,1.2715631055556738
2020-08-06,1.1732851579406616,1.1732851579406616,1.2677434466898065
2020-08-07,1.1597780265273872,1.1597780265273872,1.2531488895040566
2020-08-10,1.1639511216603593,1.1639511216603593,1.2576579502140073
2020-08-11,1.1533360880547057,1.1533360880547057,1.246188326483678
2020-08-12,1.1449258479224937,1.1449258479224937,1.23710099870105
2020-08-13,1.1419869444433697,1.1419869444433697,1.2339254913651754
2020-08-14,1.158965085917068,1.158965085917068,1.2522705010540662
2020-08-17,1.1862109136447376,1.1862109136447376,1.281709823044654
2020-08-18,1.1856024399151956,1.1856024399151956,1.2810523625987522
2020-08-19,1.167845846220707,1.167845846220707,1.261866229424416
2020-08-20,1.152688199022845,1.152688199022845,1.2454882775068672
2020-08-21,1.1624656574542305,1.1624656574542305,1.2560528949553884
2020-08-24,1.171582909571781,1.171582909571781,1.2659041545111902
2020-08-25,1.173085617972674,1.173085617972674,1.2675278422520815
2020-08-26,1.159334604376304,1.159334604376304,1.2526697685313346
2020-08-27,1.165547441404259,1.165547441404259,1.2593827857158069
2020-08-28,1.1933647910155474,1.1933647910155474,1.28943964140457
2020-08-31,1.1864547958278335,1.1864547958278335,1.2819733395796513
2020-09-01,1.192835147890642,1.192835147890642,1.288867358020485
2020-09-02,1.1932711796725406,1.1932711796725406,1.2893384936436618
2020-09-03,1.1866715799905851,1.1866715799905851,1.2822075764996488
2020-09-04,1.1751228964112617,1.1751228964112617,1.2697291369434212
2020-09-07,1.1502789386686258,1.1502789386686258,1.2428850535550775
2020-09-08,1.156442506568683,1.156442506568683,1.2495448350759142
2020-09-09,1.1293937553526057,1.1293937553526057,1.2203184557398692
2020-09-10,1.1287507932335348,1.1287507932335348,1.2196237303294222
2020-09-11,1.1399102507024628,1.1399102507024628,1.231681608142927
2020-09-14,1.1457658865531564,1.1457658865531564,1.23800866676604
2020-09-15,1.1549866038392924,1.1549866038392924,1.2479717212154766
2020-09-16,1.1473203275383423,1.1473203275383423,1.2396882519537487
2020-09-17,1.141247907524897,1.141247907524897,1.2331269564106386
2020-09-18,1.1669614653749347,1.1669614653749347,1.2609106492621538
2020-09-21,1.1557133234757901,1.1557133234757901,1.2487569472541045
2020-09-22,1.1419992617253436,1.1419992617253436,1.2339388002810843
2020-09-23,1.1460812089717043,1.1460812089717043,1.2383493750133088
2020-09-24,1.1240923971907655,1.1240923971907655,1.2145902983326589
2020-09-25,1.125804499385226,1.125804499385226,1.2164402376440024
2020-09-28,1.1287335490387702,1.1287335490387702,1.2196050978471498
2020-09-29,1.131169907413333,1.131169907413333,1.2222376014139393
2020-09-30,1.1300859865995738,1.1300859865995738,1.2210664168139518
2020-10-09,1.1531784268454308,1.1531784268454308,1.2460179723600435
2020-10-12,1.188164434565898,1.188164434565898,1.2838206171078128
2020-10-13,1.1921158186233287,1.1921158186233287,1.2880901173314026
2020-10-14,1.1842081235956778,1.1842081235956778,1.2795457933178596
2020-10-15,1.1821486740495355,1.1821486740495355,1.2773205425778837
2020-10-16,1.1804094738347315,1.1804094738347315,1.2754413236515407
2020-10-19,1.1714942251415634,1.1714942251415634,1.2658083303166456
2020-10-20,1.1808504325294198,1.1808504325294198,1.275917782841081
2020-10-21,1.1806927713201456,1.1806927713201456,1.2757474287174464
2020-10-22,1.1770345385737089,1.1770345385737089,1.2717946806924894
2020-10-23,1.162379436480408,1.162379436480408,1.2559597325440257
2020-10-26,1.1556665178042869,1.1556665178042869,1.2487063733736503
2020-10-27,1.157647136745792,1.157647136745792,1.2508464470518088
2020-10-28,1.1670058075900431,1.1670058075900431,1.260958561359426
2020-10-29,1.1757880296378862,1.1757880296378862,1.270447818402504
2020-10-30,1.1566740714698038,1.1566740714698038,1.2497950426950022
2020-11-02,1.1629558852768163,1.1629558852768163,1.2565825898085645
2020-11-03,1.176931073405123,1.176931073405123,1.2716828857988545
