方案,快线,慢线,总收益,年化,年化波动,夏普,最大回撤,卡玛,日胜率
双均线优化版,30,120,0.1476675746758742,0.016945234734321968,0.13301940084454875,0.19317070081976226,-0.2791104430939584,0.06071157548418067,0.23961980990495246
双均线朴素版,30,120,0.06660059223900472,0.007897161458602087,0.13597478440213237,0.12613083269123912,-0.33003140865764036,0.02392851483658104,0.25662831415707854
买入持有,-,-,0.237513575094227,0.026339625101230002,0.19146701021553014,0.23164098536848393,-0.45602577259234267,0.05775907127243861,0.49974987493746875
