fast,slow,cagr,sharpe,mdd,total
5,20,-0.011537995005953983,-0.04246975232768758,-0.3085762345928159,-0.09073941938353158
5,30,0.00040995130897059084,0.06440450135097003,-0.25782740875537435,0.0033652177220739876
5,60,-0.005920832951291977,0.019724425536477356,-0.3539669426025722,-0.04750999024477576
5,90,-0.004277019547987315,0.03393109402966254,-0.3653396807899887,-0.03452273291954677
5,120,0.0043920904445624576,0.09978229385408176,-0.33036036131582824,0.03657490012306486
10,20,0.00879301054820969,0.13285770409222297,-0.24421617751507496,0.07439619983396395
10,30,0.016172547998191122,0.1908490876639331,-0.24307434774229675,0.1405394544009806
10,60,-0.021723776996452226,-0.10435421895490249,-0.41069695148921614,-0.16475178066321328
10,90,-0.033454252502624904,-0.19237965623820422,-0.47422201095518735,-0.24338969992605142
10,120,-0.008023052946819154,0.005716068174406176,-0.3972111766487255,-0.06389530729768211
15,20,-0.00960998439752414,-0.018415216960955706,-0.3731940107424687,-0.07609986979203065
15,30,-0.015920695346355873,-0.06705956102130255,-0.3905282524080116,-0.12326234226685973
15,60,-0.029953192717105392,-0.17254131194922306,-0.47069730530076626,-0.22063057243010187
15,90,-0.009900713164029074,-0.010090032188702957,-0.3925728607109612,-0.07832056134896637
15,120,0.0036030885923865608,0.0939058539206164,-0.35438474720718993,0.029919284471167318
20,30,-0.04485433153577478,-0.30881269700328867,-0.48662622113562326,-0.31350693895826476
20,60,-0.012025937465663716,-0.031505071226164416,-0.3834035465665896,-0.09441195345088815
20,90,-0.002314134050042216,0.048692495026821464,-0.37044473563619806,-0.018811113807615243
20,120,0.004653111068924742,0.10173933125207041,-0.3154087854756048,0.03878503384931342
30,60,0.01036831919062764,0.14526930187552606,-0.349335092120736,0.08822579888572935
30,90,-0.008564444597486065,0.0023302294540082187,-0.3685248633526136,-0.06807478284237745
30,120,0.016945234734321968,0.19317070081976226,-0.2791104430939584,0.1476675746758742
