方案,总收益,年化,年化波动,夏普,最大回撤,卡玛
银行股轮动(月度Top3+过滤),1.1236959318938022,0.09623904122969207,0.21259935956613238,0.537782655576194,-0.2049221035126213,0.46963719179158553
银行股裸轮动(无过滤对照),1.0220069488659163,0.08969631570920256,0.2539174359513509,0.4644994915832343,-0.45905163702387997,0.19539482810849126
银行股等权买入持有,1.1371413754122215,0.09708343286093224,0.23439488183409551,0.5121244254465103,-0.3141420442046158,0.3090431053466283
沪深300(基准),0.237513575094227,0.026339625101230002,0.19146701021553014,0.23164098536848393,-0.45602577259234267,0.05775907127243861
