date,国证2000优化版,国证2000买入持有,沪深300
2018-04-27,1.0,1.0,1.0
2018-05-02,1.0,0.9958688261942736,1.0018020272140713
2018-05-03,1.0,1.0054296666575089,1.0096143608526225
2018-05-04,1.0,1.004855611354438,1.0047166797981304
2018-05-07,1.0,1.0222088549114987,1.0205782457784118
2018-05-08,1.0,1.0282790920961116,1.0324205191541918
2018-05-09,1.0,1.029344781663777,1.0305413002278485
2018-05-10,1.0,1.0349985757066158,1.0362481633696046
2018-05-11,1.0,1.0234364945898542,1.030866037776027
2018-05-14,1.0,1.0164639639313968,1.0405682374736482
2018-05-15,1.0,1.027411502217415,1.044510338365878
2018-05-16,1.0,1.023542051358429,1.0361896041396053
2018-05-17,1.0,1.0205344064456143,1.0285263303592342
2018-05-18,1.0,1.0250704555280659,1.0389099465513936
2018-05-21,1.0,1.0378023369979366,1.0437490683758863
2018-05-22,1.0,1.0422328293118133,1.0397484082536572
2018-05-23,1.0,1.0323177229814438,1.0260056216860798
2018-05-24,1.0,1.0303106983953925,1.0187229829007047
2018-05-25,1.0,1.0208930102621423,1.0158695513298268
2018-05-28,1.0,1.0135777816015998,1.0203306999425055
2018-05-29,1.0,1.0056610239584944,1.0125449841357723
2018-05-30,1.0,0.9716066752365268,0.9910803645578246
2018-05-31,1.0,0.9875240575443447,1.0121111134771406
2018-06-01,1.0,0.976968380686871,1.003649304742233
2018-06-04,1.0,0.974316447624322,1.0134952407316709
2018-06-05,1.0,0.9885622734325181,1.0235408104597432
2018-06-06,1.0,0.9898520903855135,1.0214193692638571
2018-06-07,1.0,0.9819613604387691,1.019731798726603
2018-06-08,1.0,0.97189731784589,1.0060528949553884
2018-06-11,1.0,0.9630059675723823,1.006148719149933
2018-06-12,1.0,0.9696097725323937,1.0183849364366175
2018-06-13,1.0,0.9535376700295415,1.0083739698899086
2018-06-14,1.0,0.9491013937831402,1.0043892804667702
2018-06-15,1.0,0.9276589099311567,0.9990816848022827
2018-06-19,1.0,0.8641093972997711,0.9638636315240305
2018-06-20,1.0,0.8739117169459102,0.9676753050403526
2018-06-21,1.0,0.8525212884866485,0.956370711867294
2018-06-22,1.0,0.8644448653862004,0.9606109324758842
2018-06-25,1.0,0.8616237522973057,0.9477225783096612
2018-06-26,1.0,0.8687379893026167,0.9399049211047465
2018-06-27,1.0,0.863082749276647,0.9207800089435916
2018-06-28,1.0,0.8537951996252012,0.911269457635059
2018-06-29,1.0,0.8781137439250634,0.9345467515598049
2018-07-02,1.0,0.868344681890941,0.9071250612210132
2018-07-03,1.0,0.8800036438774905,0.9074764166010094
2018-07-04,1.0,0.863632222866488,0.8953573177743234
2018-07-05,1.0,0.8396852962313343,0.8896850578139307
2018-07-06,1.0,0.8422273345759149,0.8957219820702285
2018-07-09,1.0,0.8587679356132631,0.9207587146781371
2018-07-10,1.0,0.8655394746164891,0.9229786418517493
2018-07-11,1.0,0.8455791234739455,0.9070106045441962
2018-07-12,1.0,0.8672616405257015,0.9265826962798918
2018-07-13,1.0,0.8700682937832848,0.9296783501203126
2018-07-16,1.0,0.8704991967563707,0.924195076765827
2018-07-17,1.0,0.8728359054963264,0.9181501671599838
2018-07-18,1.0,0.8693496401670978,0.9133429867336726
2018-07-19,1.0,0.8594576695668269,0.9125497753454994
2018-07-20,1.0,0.8683880613848759,0.9297315857839483
2018-07-23,1.0,0.8741777778420438,0.9384782053193075
2018-07-24,1.0,0.8885161465706342,0.9533735440045995
2018-07-25,1.0,0.8907559744408021,0.952319477864611
2018-07-26,1.0,0.8901558914413705,0.9412730776601861
2018-07-27,1.0,0.8847450225645668,0.9372750793211388
2018-07-30,1.0,0.8715359666614129,0.9356380826643385
2018-07-31,1.0,0.8717051466877588,0.93632482272524
2018-08-01,1.0,0.8593087333043172,0.9176204723068078
2018-08-02,1.0,0.8380831469220079,0.8972764634483933
2018-08-03,1.0,0.8288852482246942,0.8824556546921914
2018-08-06,1.0,0.8129505141193023,0.8712735035454952
2018-08-07,1.0,0.8335875853672291,0.8967201507633994
2018-08-08,1.0,0.8213458921788218,0.8822506973871936
2018-08-09,1.0,0.8384345208228801,0.9043488213624071
2018-08-10,1.0,0.8432033731894484,0.9063424969655671
2018-08-13,1.0,0.8452783589826641,0.9024349992547007
2018-08-14,1.0,0.8445033120243619,0.8977955111688422
2018-08-15,1.0,0.8292091484460742,0.8762536998786227
2018-08-16,1.0,0.8205158978615356,0.8721944805263943
2018-08-17,1.0,0.805888332506713,0.8596548199569856
2018-08-20,1.0,0.8097751351632732,0.8696711100700582
2018-08-21,1.0,0.8186404577404199,0.8854821021698857
2018-08-22,1.0,0.8093774898022039,0.8805045676199399
2018-08-23,1.0,0.813964148294246,0.8837200017035413
2018-08-24,1.0,0.8119571237081948,0.8851307467898895
2018-08-27,1.0,0.8278340184883404,0.9067550733587445
2018-08-28,1.0,0.8291469711714343,0.9050515321223994
2018-08-29,1.0,0.8255175535122207,0.9014315069951662
2018-08-30,1.0,0.8127553063965955,0.8919875002661783
2018-08-31,1.0,0.8045898396549307,0.8875716019675901
2018-09-03,1.0,0.8041878563444679,0.8841964608930815
2018-09-04,1.0,0.8130445030228277,0.8953972445220502
2018-09-05,1.0,0.8019610423224802,0.8778933583186047
2018-09-06,1.0,0.7992917574623575,0.8685079108196163
2018-09-07,1.0,0.8009286103668314,0.872436702795937
2018-09-10,1.0,0.7859626849593172,0.8597746002001662
2018-09-11,1.0,0.7877166624974152,0.8582147952556376
2018-09-12,1.0,0.7874404797193636,0.8523082983752475
2018-09-13,1.0,0.7939633096240298,0.861504759268329
2018-09-14,1.0,0.7864138316962394,0.8629740635846767
2018-09-17,1.0,0.7749688752131018,0.8530802154979664
2018-09-18,1.0,0.7878945184225481,0.8702513788036881
2018-09-19,1.0,0.796122162438853,0.8817103554012904
2018-09-20,1.0,0.7935352986172063,0.8810848363535699
2018-09-21,1.0,0.8022169813366957,0.9077984923660057
2018-09-25,1.0,0.7997269983848369,0.899629479781095
2018-09-26,1.0,0.8023702555485988,0.9095951960137134
2018-09-27,1.0,0.7890469669780832,0.9059618619705714
2018-09-28,1.0,0.7960006998558354,0.9153499712527416
2018-10-08,1.0,0.7704067984342894,0.8759662272949894
2018-10-09,1.0,0.7718325378016141,0.8753779732118141
2018-10-10,1.0,0.7732105597256103,0.8734907689359255
2018-10-11,1.0,0.7164282481480571,0.8315703456059284
2018-10-12,1.0,0.7102611300936563,0.8439795787994293
2018-10-15,1.0,0.7010646773794736,0.8321932028704669
2018-10-16,1.0,0.6870169512602466,0.8254109793232681
2018-10-17,1.0,0.6922138146336384,0.8300105406613999
2018-10-18,1.0,0.6705385274975382,0.8103506100807052
2018-10-19,1.0,0.6835784033743463,0.8344557185749877
2018-10-22,1.0,0.716283649834941,0.8704749685909584
2018-10-23,1.0,0.7065059119020317,0.8473600434403015
2018-10-24,1.0,0.7070799672051026,0.8486297140180149
2018-10-25,1.0,0.7020913254025979,0.850256063542088
2018-10-26,1.0,0.7052305547803479,0.8447541577053299
2018-10-29,1.0,0.6954210052185531,0.8190014054215199
2018-10-30,1.0,0.703126649324509,0.8278837758991504
2018-10-31,1.0,0.7135304979532109,0.8394785034390239
2018-11-01,1.0,0.7171338879160636,0.8456565022039565
2018-11-02,1.0,0.7360791589005323,0.8757932113881731
2018-11-05,1.0,0.7423648475716882,0.8684972636868892
2018-11-06,1.0,0.7429663765542511,0.8632562126019463
2018-11-07,1.0,0.7411111801969719,0.8576025851238261
2018-11-08,1.0,0.739637723386319,0.8551697152956709
2018-11-09,1.0,0.7385908315993586,0.8431038521326206
2018-11-12,1.0,0.7599855980080137,0.8531387747279657
2018-11-13,1.0,0.7750353904371352,0.861720363706054
2018-11-14,1.0004085956506814,0.7757395842220105,0.8530855390643299
2018-11-15,1.0188269041012301,0.7900215596084856,0.8630485935137667
2018-11-16,1.0306569890268429,0.7991948765925697,0.8671211217819041
2018-11-19,1.035115648083769,0.8026522222591751,0.8769510870722514
2018-11-20,1.00658657032889,0.7805301263355462,0.8566709610101999
2018-11-21,1.015047020408888,0.7870905518016227,0.8588216818210855
2018-11-22,1.0167607417277147,0.7884194102991594,0.8556115713038478
2018-11-23,0.9726235601223658,0.7541944355677147,0.8367262196290539
2018-11-26,0.9721372483423047,0.7532964800432638,0.836129980196333
2018-11-27,0.9721372483423047,0.7594303404856478,0.8350652669236174
2018-11-28,0.9721372483423047,0.7678748819716269,0.8461622410084964
2018-11-29,0.9480873226439732,0.7492621871073253,0.8351744000340708
2018-11-30,0.9476132789826512,0.7531085022362128,0.8445012883030599
2018-12-03,0.9476132789826512,0.7769079385919884,0.8679941866655309
2018-12-04,0.9552260385249874,0.7835377712483607,0.8697935520964204
2018-12-05,0.9474854696541781,0.7771884593194336,0.8656118907178296
2018-12-06,0.9313891056461251,0.7639851873488044,0.8468915696003066
2018-12-07,0.9318756456161418,0.7643842786930048,0.8468622899853069
2018-12-10,0.92029387893857,0.7548841695212785,0.837066927876323
2018-12-11,0.9198337319991007,0.761535691924618,0.8410755733480973
2018-12-12,0.9198337319991007,0.761499542346339,0.8439476374012479
2018-12-13,0.9198337319991007,0.7682869871640078,0.857011669257469
2018-12-14,0.9198337319991007,0.7489325029534205,0.8426965993058069
2018-12-17,0.9198337319991007,0.747991167935035,0.8414428994271842
2018-12-18,0.9198337319991007,0.7429880663012185,0.8327202359404612
2018-12-19,0.9198337319991007,0.7338480069291512,0.8227917846723878
2018-12-20,0.9198337319991007,0.736984344340639,0.8164806967483657
2018-12-21,0.9198337319991007,0.7315344339192938,0.8063605970912033
2018-12-24,0.9198337319991007,0.7379329092746804,0.8087029662911777
2018-12-25,0.9198337319991007,0.7302576308144789,0.8031345158748749
