date,v1.1双周+熔断,v1.0周度,等权持有,沪深300
2019-05-06,1.0,1.0,1.0,1.0
2019-05-07,1.0,1.0,1.042369394691992,1.009783912588001
2019-05-08,1.0,1.0,1.0321444405708387,0.9953428033284301
2019-05-09,1.0,1.0,1.0060101074729733,0.9769528472406924
2019-05-10,1.0,1.0,1.0510825240071906,1.0124381890127068
2019-05-13,1.0,1.0,1.045665547232501,0.9956874793058714
2019-05-14,1.0,1.0,1.0324875179532593,0.9892879048585743
2019-05-15,1.0,1.0,1.0746582355068923,1.0115262903637283
2019-05-16,1.0,1.0,1.0854071570341834,1.0161047814971422
2019-05-17,1.0,1.0,1.05102192580798,0.9902676531094117
2019-05-20,1.0,1.0,1.0373009376557356,0.9818624444311761
2019-05-21,1.0,1.0,1.0540157976085602,0.9951582524113749
2019-05-22,1.0,1.0,1.0464027551552273,0.9904359201220208
2019-05-23,1.0,1.0,1.0195813835104262,0.972681036307679
2019-05-24,1.0,1.0,1.0264387255386551,0.9753814504616487
2019-05-27,1.0,1.0,1.0394980831872604,0.9871302875194728
2019-05-28,1.0,1.0,1.039695051812025,0.9966455156841141
2019-05-29,1.0,1.0,1.0454582737085405,0.9943793389820389
2019-05-30,1.0,1.0,1.0411204129138296,0.9882104531810607
2019-05-31,1.0,1.0,1.031500063256538,0.9851192253203859
2019-06-03,1.0,1.0,1.0295020256506588,0.9857217297848897
2019-06-04,1.0,1.0,1.0060602688208733,0.9766190271995484
2019-06-05,1.0,1.0,1.0036457504937089,0.976249925365438
2019-06-06,1.0,1.0,0.9981490307395019,0.9674484750123487
2019-06-10,1.0,1.0,1.014313415661906,0.9799490856587654
2019-06-11,1.0,1.0,1.0560173999056852,1.0094066688016676
2019-06-12,1.0,1.0,1.0455252316075334,1.0017586616801732
2019-06-13,1.0,1.0,1.0454454511006075,1.0002089767737243
2019-06-14,1.0,1.0,1.0380837454521281,0.9919286113629086
2019-06-17,1.0,1.0,1.0403777748446426,0.9919123274584626
2019-06-18,1.0,1.0,1.0448162717936018,0.9953862270736196
2019-06-19,1.0,1.0,1.0526124844178355,1.0085001981208375
2019-06-20,1.0,1.0,1.0968408654668778,1.0390542308297734
2019-06-21,1.0,1.0,1.1123462891982794,1.0405252101980667
2019-06-24,1.0,1.0,1.1116651808687197,1.042514560524559
2019-06-25,1.0,1.0,1.10407434081085,1.0316694801634905
2019-06-26,1.0,1.0,1.1035500325755736,1.0297751192796
2019-06-27,1.0,1.0,1.124283531781708,1.0407640407966088
2019-06-28,1.0,1.0,1.118783532779574,1.0382590334959916
2019-07-01,1.0,1.0,1.158449076566106,1.068172565963383
2019-07-02,1.0,1.0,1.1628134310649139,1.0685416677974935
2019-07-03,1.0,1.0,1.1501424427245768,1.0566978412970673
2019-07-04,1.0,1.0,1.1385746364484222,1.0511531718331877
2019-07-05,1.0,1.0,1.149684027374815,1.056608279822614
2019-07-08,1.0,1.0,1.1214924398272226,1.032071149806493
2019-07-09,1.0,1.0,1.1248122066485349,1.0294494411906792
2019-07-10,1.0,1.0,1.124157600322957,1.027715205367175
2019-07-11,1.0,1.0,1.1218463816560917,1.027302679787875
2019-07-12,1.0,1.0,1.1300495690607841,1.0336832563466518
2019-07-15,1.0,1.0,1.1368551729432534,1.0378790757255836
2019-07-16,1.0,1.0,1.1344124002192135,1.0331703133566013
2019-07-17,1.0,1.0,1.1330745308850183,1.032573236860246
2019-07-18,1.0,1.0,1.1184250359890375,1.0227377585748327
2019-07-19,1.0,1.0,1.1310910167574884,1.0334742795729275
2019-07-22,1.0,1.0,1.1141217715457934,1.026341929425558
2019-07-23,1.0,1.0,1.1180122728923947,1.0285755383187412
2019-07-24,1.0,1.0,1.1257467572935875,1.0366957786691708
2019-07-25,1.0,1.0,1.1377832418481826,1.0451742649174136
