code,name,n,n_feat,up_ratio,ret_mean,ret_std,top_feat,top_corr,max_vif,max_vif_feat,n_highcorr_pairs
sh600900,长江电力,1890,43,0.5063492063492063,0.0006216374225276792,0.015573457050615384,intraday,-0.19269148812064524,1000000.0,kdj_d,22
hk00700,腾讯控股,1187,43,0.4860994102780118,0.00040323575518810763,0.026125015232249343,hl_range,0.13925946315782253,1000000.0,macd_hist,20
sh518880,黄金ETF,1939,38,0.626611655492522,0.0006558573654380631,0.010449594482392981,ma_bias_10,-0.059312291458168895,1000000.0,kdj_k,16
sh515450,红利低波50ETF,1482,38,0.7165991902834008,0.0007723742820927193,0.013324136638738519,overnight,-0.08456068117665712,1000000.0,kdj_k,15
sz159941,纳指ETF,1939,38,0.7354306343476018,0.0008628393234421239,0.016788526670562638,intraday,-0.152821515160434,1000000.0,kdj_k,16
sh588000,科创50ETF,1306,38,0.6140888208269525,0.000488401630859298,0.020258043556091457,hl_range,0.12909427596058992,1000000.0,kdj_k,18
sh510300,沪深300ETF,1939,38,0.5575038679731821,0.00038090308838402117,0.01378052570749067,ma5_ma20,-0.04271396085117566,1000000.0,kdj_k,18
sh510500,中证500ETF,1939,38,0.5518308406395049,0.0004625704164126354,0.01457013849628124,vol_ratio_20,0.10505196480530668,1000000.0,kdj_k,19
