code,task,model,rmse,mae,r2,dir_acc,params
sh600900,回归,线性回归,0.008639006494538788,0.006775880151504944,-0.13988312717274543,0.4656084656084656,{}
sh600900,回归,Ridge回归,0.008481178302054058,0.0066262670094448875,-0.09861395520687366,0.4894179894179894,"{""alpha"": 50.0}"
sh600900,回归,决策树,0.010254570813267134,0.007585774114806482,-0.6060819493408738,0.4656084656084656,"{""max_depth"": 3, ""min_samples_leaf"": 20}"
sh600900,回归,随机森林,0.008106830205810739,0.006228894262215347,-0.0037715405422900083,0.47883597883597884,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 200}"
sh600900,回归,KNN,0.008624122823033546,0.006627401182612715,-0.13595882605353737,0.48148148148148145,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
sh600900,回归,GBDT,0.01058639453709039,0.00752431828105097,-0.7117048253000391,0.4656084656084656,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sh600900,回归,XGBoost,0.017320981288939656,0.010217809118750091,-3.582238704007315,0.48677248677248675,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh600900,回归,LightGBM,0.009247475345532953,0.007088464309858918,-0.30610799667182054,0.455026455026455,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
hk00700,回归,线性回归,0.020738170642322674,0.01564477499675625,-0.10010293745769494,0.46218487394957986,{}
hk00700,回归,Ridge回归,0.02031509978194873,0.014845198342283572,-0.05567529065454924,0.5504201680672269,"{""alpha"": 50.0}"
hk00700,回归,决策树,0.020309730679173986,0.015139409617187086,-0.0551173529443818,0.5336134453781513,"{""max_depth"": 3, ""min_samples_leaf"": 50}"
hk00700,回归,随机森林,0.019684783182119865,0.014569886994192276,0.008817311796039728,0.5336134453781513,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 400}"
hk00700,回归,KNN,0.020017515314224566,0.014970829475412497,-0.024973827144147753,0.5126050420168067,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
hk00700,回归,GBDT,0.01979914979854983,0.014624803907724528,-0.00273348956962316,0.5210084033613446,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
hk00700,回归,XGBoost,0.019586968192223313,0.014537791078215049,0.018643342591818324,0.5504201680672269,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
hk00700,回归,LightGBM,0.020400177158102068,0.015194708101801993,-0.06453590669450837,0.4957983193277311,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
sh518880,回归,线性回归,0.01616252410276915,0.010520449684403833,0.0022674816279443233,0.5154639175257731,{}
sh518880,回归,Ridge回归,0.01608671401464801,0.010396033363786486,0.011605231070397792,0.5128865979381443,"{""alpha"": 50.0}"
sh518880,回归,决策树,0.01648765350207934,0.010591380685297839,-0.03827754086546409,0.5051546391752577,"{""max_depth"": 3, ""min_samples_leaf"": 50}"
sh518880,回归,随机森林,0.016174029362007167,0.010357732561205476,0.0008465084045564675,0.5335051546391752,"{""max_depth"": 4, ""min_samples_leaf"": 50, ""n_estimators"": 400}"
sh518880,回归,KNN,0.016068474130969894,0.01024241500537831,0.013845338649509098,0.5438144329896907,"{""n_neighbors"": 45, ""weights"": ""uniform""}"
sh518880,回归,GBDT,0.01713409768647027,0.01092332613533105,-0.12129073384757216,0.5360824742268041,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 150}"
sh518880,回归,XGBoost,0.016322876988351498,0.010575700245930991,-0.0176282891558448,0.5567010309278351,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200}"
sh518880,回归,LightGBM,0.01617915128257127,0.010501718663763218,0.00021359312934843278,0.5489690721649485,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 200, ""num_leaves"": 15}"
sh515450,回归,线性回归,0.007832909509106152,0.006006977244168917,-0.10346905405636564,0.48148148148148145,{}
sh515450,回归,Ridge回归,0.007650357176407765,0.00577976616380361,-0.05263392615155249,0.4276094276094276,"{""alpha"": 50.0}"
sh515450,回归,决策树,0.007516960499885913,0.005433050236442761,-0.016245126300304946,0.2962962962962963,"{""max_depth"": 3, ""min_samples_leaf"": 50}"
