feat_a,feat_b,abs_corr
mom_1,logret_1,1.0
mom_3,ma_bias_5,0.948
mom_5,logret_5,0.999
mom_5,ma_bias_10,0.93
mom_10,ma_bias_20,0.913
logret_5,ma_bias_10,0.929
ma_bias_60,ma10_ma60,0.916
ma_bias_60,macd_dif,0.948
ma_bias_60,macd_dea,0.901
ma10_ma60,macd_dif,0.931
ma10_ma60,macd_dea,0.987
rsi_6,rsi_14,0.903
rsi_6,boll_pctb,0.944
rsi_6,pos_20,0.908
rsi_14,boll_pctb,0.904
macd_dif,macd_dea,0.95
kdj_k,kdj_d,0.92
boll_pctb,pos_20,0.956
