,VIF
kdj_k,1000000.0
macd_hist,1000000.0
kdj_j,1000000.0
kdj_d,1000000.0
macd_dea,1000000.0
macd_dif,1000000.0
overnight,18802.8047109294
mom_1,17837.637836984475
ma_bias_20,11574.506466835428
ma5_ma20,7495.63690956612
logret_1,7130.826484538627
ma_bias_60,5761.429059664758
intraday,4779.47201198624
logret_5,4217.867497215855
ma10_ma60,4217.461484173533
mom_5,4194.983137885086
ma_bias_5,2705.597293660159
ma_bias_10,1032.4956763120726
rsi_14,47.22184734582952
rsi_6,41.4459619203683
boll_pctb,19.05107489699043
atr_14,18.115282222194836
mom_3,14.45114110595389
vol_20,13.498181925213926
mom_10,12.403521741676206
pos_20,12.004156057546309
mom_20,11.468117231444793
vol_10,9.498567961067144
mom_60,8.717410821784803
pos_60,7.100745861814401
boll_width,6.468880489181376
hl_range_ma5,6.406643659384137
vol_5,5.394572840709723
vol_ratio_5,4.995339708385891
vol_ratio_20,4.16960804446528
hl_range,2.605089368631547
vol_chg_1,2.3214751601798627
pv_corr_20,1.7251474418986505
