feat_a,feat_b,abs_corr
mom_1,logret_1,0.999
mom_3,ma_bias_5,0.958
mom_5,logret_5,0.995
mom_5,ma_bias_10,0.938
mom_10,ma_bias_20,0.923
logret_5,ma_bias_10,0.931
ma_bias_60,ma10_ma60,0.921
ma_bias_60,macd_dif,0.944
ma_bias_60,macd_dea,0.904
ma10_ma60,macd_dif,0.928
ma10_ma60,macd_dea,0.982
rsi_6,rsi_14,0.907
rsi_6,boll_pctb,0.951
rsi_6,pos_20,0.912
rsi_14,boll_pctb,0.909
macd_dif,macd_dea,0.956
kdj_k,kdj_d,0.929
boll_pctb,pos_20,0.958
