,count,mean,std,min,25%,50%,75%,max,skew,kurt
mom_1,1187.0,0.00040414860215888586,0.02612627341451011,-0.13362133922740738,-0.01379365208495087,-0.0011961722488037507,0.012730916035176065,0.26268702173830283,1.0144429341981607,12.18612335734695
mom_3,1187.0,0.0010849646389613607,0.04448820357444085,-0.24880601710183892,-0.024306285676805484,-0.001269559145586574,0.023622047244094446,0.3159858377431759,0.6274111061406743,5.136957030972347
mom_5,1187.0,0.0016632679074677925,0.05616432911961045,-0.2449190789662805,-0.03184952729445706,-0.0024953212726138707,0.032556519986300936,0.3426352457456123,0.5654388304454556,3.181162361550835
mom_10,1187.0,0.003522686069723048,0.07836756405962693,-0.33613870144312175,-0.045644474899154186,-0.004540867810292504,0.045022221444435795,0.37619225235786224,0.6723915012495733,1.953942050010558
mom_20,1187.0,0.007261633642627412,0.11154890783107911,-0.39570248694411847,-0.060364456485983375,-0.006670001667500425,0.0655261978729168,0.44645445584739374,0.7341214803309952,1.4710851330945118
mom_60,1187.0,0.01683024106294935,0.20607368795429407,-0.39920576862786084,-0.11844871920554945,-0.023188405797101352,0.12747029956230937,1.2254415779796064,1.7339809703950644,6.017422731067274
logret_1,1187.0,6.775746117427848e-05,0.02587744690094066,-0.14343321336253273,-0.013889668477306195,-0.001196888233846064,0.012650559130445528,0.23324200722665844,0.5513904277803444,9.59629136203839
logret_5,1187.0,0.00011030110342000475,0.05561728889348872,-0.28093035529938526,-0.03236775827617347,-0.002498439775598744,0.032037774388799234,0.29463428403673075,0.18320115526654218,2.5225020942767165
ma_bias_5,1187.0,0.00019853420650319206,0.02764949968243984,-0.17438315260097387,-0.015832748016974374,-0.0004963394962154874,0.01515074036043134,0.14893136324612471,0.08723635552192167,3.8007962335601206
ma_bias_10,1187.0,0.000509674507299457,0.04120646460748476,-0.23435450491153345,-0.02450775319226952,-0.0012444931179530546,0.02396897986149713,0.19955654101995493,0.17852383300634447,2.4257112462809545
ma_bias_20,1187.0,0.001316547343201962,0.060767174921983184,-0.3034288896549887,-0.0365706815164379,-0.0036902906390391716,0.03472557861685722,0.2990630917970683,0.40024711014144093,2.3251015395133914
ma_bias_60,1187.0,0.002888347171616295,0.10679711597271296,-0.3494134062069128,-0.06319499737273805,-0.011426902678209769,0.05177333104696748,0.43270347151392663,0.8007659435153289,1.70359567207045
ma5_ma20,1187.0,0.0007719320859988744,0.047161059340041354,-0.17173881983140826,-0.02949288328539712,-0.003678483273948041,0.0271798864543753,0.21532050971461203,0.4231787918080583,1.6968578590708185
ma10_ma60,1187.0,0.0016348080052998532,0.08974824490514252,-0.2560844252348585,-0.05382439626014379,-0.010856192626443106,0.04088643696466665,0.3207255157314559,0.7659201974176366,1.331207920395964
vol_5,1187.0,0.022161138885582635,0.014234981048336664,0.0013561726422329353,0.014364864105484152,0.01904857486736533,0.025865693164795853,0.1582893351893576,3.834107307294974,26.617614322879604
vol_10,1187.0,0.023225669052746138,0.012412360299729844,0.0063793040070402795,0.016308503155327666,0.020208365714070347,0.026610403164362993,0.10984554213128062,3.2327301292914035,16.28536710454291
vol_20,1187.0,0.0238735988921751,0.011074504815289814,0.0095804801346387,0.01738632229618719,0.021330733698967323,0.027441962412280495,0.07788037131911167,2.463129719208379,8.255810416231299
atr_14,1187.0,0.033679179694398806,0.010060806660841649,0.016806673650064215,0.02720082629754877,0.0321807926130669,0.03813946998005581,0.07196234517022827,1.2431196221902037,2.0949830609128473
hl_range,1187.0,0.030250452855172458,0.0167703338933297,0.006826604251999316,0.019787458929409363,0.02674289929915155,0.035771053675646126,0.20475460122699307,3.337042608228627,21.554274161139734
hl_range_ma5,1187.0,0.03023321875799069,0.011931347790104404,0.01285967356305405,0.022625516917951484,0.02826262341143019,0.03436841159257105,0.11201730867423718,2.433258678476546,9.771894471316598
vol_chg_1,1187.0,0.09325333677121769,0.6392913611021317,-0.7314392466526943,-0.2317593161679693,-0.026735440594063853,0.25196803263210543,13.459965397957909,9.643256901126463,176.06251892417066
vol_ratio_5,1187.0,1.0067953475257414,0.3328157372016609,0.2846819301146913,0.7863025297031948,0.9424787675133345,1.1706207946390843,3.750482353705363,1.7669188579572868,7.661807047947363
vol_ratio_20,1187.0,1.0092381244102338,0.47200707049496643,0.2332661009092348,0.7298914400687585,0.8990875739953895,1.1533428982628466,6.334220017731131,3.3654736947040953,23.73205174176721
pv_corr_20,1187.0,0.01701863003069103,0.3946508116137027,-0.938386706888433,-0.2796483454147023,0.023162439950831795,0.312322714264026,0.8366923671072793,-0.2110167161795876,-0.5926169575351747
rsi_6,1187.0,49.781357196063254,18.23133703407067,3.284460371109205,36.02205165447333,48.942203517744645,62.88519265447796,97.89514184047162,0.17277141852729563,-0.5622047360123874
rsi_14,1187.0,50.155115089810735,12.029997514536586,12.521047563508134,41.967700734783406,49.18791820636865,57.53561727556559,89.27935243892831,0.3660431303788185,0.156445708740776
macd_dif,1187.0,-0.0018068642580143378,0.027046606414747286,-0.12579108673293501,-0.01731725439555184,-0.0018161199066996847,0.014067789230396619,0.07008493982176098,-0.28321340856211535,1.7864426965487379
macd_dea,1187.0,-0.0018636901117753007,0.025279209121067955,-0.10755363177157032,-0.01709689398377407,-0.0022413801349945588,0.012644261610697085,0.06705613513240011,-0.1819848954021036,1.2939762310004301
macd_hist,1187.0,0.0001136517075219231,0.01639323756781094,-0.0859516720988006,-0.009859507954768032,-0.0014658635530757744,0.009718354380342329,0.07560769725780864,0.24339117010316463,2.004498751212796
kdj_k,1187.0,48.628992393584724,23.94923426781018,5.790588087926154,27.063510068169773,49.093503192007105,70.27254394885912,96.09498585465039,0.0807206287822573,-1.2401348292194259
kdj_d,1187.0,48.65717120444534,21.1415397397435,8.827482679881468,29.784930167212764,48.024080909644674,65.76847276153472,93.1673997687232,0.11908418097248526,-1.0705395672590698
