,corr_with_yreg,corr_with_ycls
intraday,-0.19269148812064524,-0.002352413193199376
overnight,0.17762678636857696,-0.0017728397042214446
ma_bias_5,-0.1470395164956763,-0.08002661954049317
mom_1,-0.13356281639237394,-0.04784900686788239
logret_1,-0.1321252131859044,-0.04920583455113447
mom_3,-0.1296708113100265,-0.08787736630887417
ma_bias_10,-0.12502981244711367,-0.06571071052645384
mom_5,-0.11319787028785912,-0.04684219820760228
logret_5,-0.11310635002795139,-0.047870439845750776
ma_bias_20,-0.10598251544837575,-0.0608956847454957
mom_10,-0.09973118043238748,-0.06796682257210239
rsi_6,-0.09701042147409868,-0.06950475091704103
rsi_14,-0.09146854791546538,-0.06305547313617724
boll_pctb,-0.08371024512025656,-0.0540433231096051
mom_20,-0.08349643446573593,-0.04799791251024543
ma_bias_60,-0.08009287523964922,-0.06054569693926907
pos_60,-0.06843118651557341,-0.05899850790624709
pos_20,-0.0675236858840661,-0.0548062148347379
macd_hist,-0.060823312540937535,-0.030750316484250213
vol_5,-0.05541708479744228,0.003188746465017805
macd_dif,-0.05046518942472567,-0.04246206394453325
vol_10,-0.04721979076479653,0.007273500676750591
ma5_ma20,-0.042798463312707764,-0.027018752069871893
mom_60,-0.04255096954550201,-0.0438711048899515
vol_ratio_5,0.035766106380093525,0.010931318332791581
macd_dea,-0.03248368056110472,-0.03466303210826819
pv_corr_20,-0.0318334374977558,-0.03893042425336504
hl_range,0.03087077441863554,0.01810025385609641
vol_20,-0.03086025813183103,0.014308648459766812
ma10_ma60,-0.03038490554727359,-0.03752903673219507
atr_14,-0.029555273886963863,0.015215576943636113
vol_chg_1,0.015012011300892728,0.02624767749156514
fin_eps_chg,-0.010358246607318676,-0.02395312964374419
vol_ratio_20,0.009365203819292149,-0.0093475766294016
fin_np_ttm,-0.008869762871049423,-0.019297929112230106
fin_rev_ttm,-0.008590034833211958,-0.013759441684537042
boll_width,-0.00831368622183084,0.002456777654707808
kdj_k,-0.003649780466356496,0.011514493757453005
fin_npm,-0.0033066845993249723,-0.01855904449112531
kdj_d,-0.0025206476267137156,0.013667539660207414
kdj_j,0.002248440384714306,-0.01417924048972833
hl_range_ma5,-0.001863054811367281,0.0014510555910188347
fin_eps,-2.925077797046388e-05,-0.018204265520775382
