feat_a,feat_b,abs_corr
mom_1,logret_1,1.0
mom_3,ma_bias_5,0.955
mom_5,logret_5,0.999
mom_5,ma_bias_10,0.929
mom_10,ma_bias_20,0.915
logret_5,ma_bias_10,0.928
ma_bias_60,ma10_ma60,0.922
ma_bias_60,macd_dif,0.95
ma_bias_60,macd_dea,0.91
ma10_ma60,macd_dif,0.924
ma10_ma60,macd_dea,0.985
vol_20,atr_14,0.903
rsi_6,rsi_14,0.909
rsi_6,boll_pctb,0.947
rsi_6,pos_20,0.906
rsi_14,boll_pctb,0.901
macd_dif,macd_dea,0.95
kdj_k,kdj_d,0.927
boll_pctb,pos_20,0.962
