feat_a,feat_b,abs_corr
mom_1,logret_1,1.0
mom_3,ma_bias_5,0.942
mom_5,logret_5,0.999
mom_5,ma_bias_10,0.924
mom_10,ma_bias_20,0.918
logret_5,ma_bias_10,0.923
ma_bias_60,macd_dif,0.933
ma10_ma60,macd_dif,0.911
ma10_ma60,macd_dea,0.982
rsi_6,rsi_14,0.903
rsi_6,boll_pctb,0.931
rsi_14,boll_pctb,0.903
macd_dif,macd_dea,0.935
kdj_k,kdj_d,0.915
boll_pctb,pos_20,0.953
