feat_a,feat_b,abs_corr
mom_1,logret_1,0.999
mom_3,ma_bias_5,0.942
mom_5,logret_5,0.998
mom_5,ma_bias_10,0.915
mom_10,ma_bias_20,0.915
logret_5,ma_bias_10,0.918
ma_bias_10,rsi_6,0.906
ma_bias_20,rsi_14,0.908
ma_bias_60,ma10_ma60,0.928
ma_bias_60,macd_dif,0.936
ma_bias_60,macd_dea,0.902
ma10_ma60,macd_dif,0.909
ma10_ma60,macd_dea,0.97
rsi_6,rsi_14,0.909
rsi_6,boll_pctb,0.946
rsi_6,pos_20,0.907
macd_dif,macd_dea,0.953
kdj_k,kdj_d,0.924
boll_pctb,pos_20,0.96
fin_eps,fin_roe,0.964
