,corr_with_yreg,corr_with_ycls
ma5_ma20,-0.04271396085117566,-0.03898349720278196
overnight,-0.039855846369691215,-0.004128233479541648
boll_width,0.03266072777901954,0.018092450148907927
macd_hist,-0.031202178531755484,-0.05845829495835302
ma_bias_20,-0.029731194366651423,-0.04887063448679303
macd_dif,-0.027745713659018897,-0.005783558869730797
mom_20,-0.024791947199825807,-0.014888515143329294
mom_10,-0.024548018050074873,-0.05297179519503063
vol_ratio_20,0.024369282874245432,0.021738114189652283
intraday,0.021333703363454026,-0.0351876817674694
ma_bias_60,-0.021105794337821213,-0.012578796979640044
pv_corr_20,-0.02014430445611658,-0.0263070794449733
ma_bias_10,-0.019865751272933323,-0.053500955050226465
macd_dea,-0.019140800477483007,0.013256600981940515
mom_60,-0.018774037069346154,0.006055475104800302
vol_10,0.018750425843558197,-0.004551954873676095
kdj_d,-0.01850581567179184,-0.03364579600588419
hl_range_ma5,0.01570748090399333,-0.0030369017259902395
atr_14,0.015526549816996691,-0.004269384111068497
kdj_k,-0.01522168360109751,-0.04396533357670801
mom_3,0.015086133713848296,-0.0355626063775653
ma10_ma60,-0.014878247549828456,0.011641168823313135
vol_20,0.013329552683897353,-0.0017954427977627057
vol_5,0.01130572956202326,-0.012626205843963498
boll_pctb,0.01048991076110268,-0.03013377645903466
logret_5,-0.009485991926015118,-0.043266879624193524
vol_chg_1,0.00914765352304885,0.014960882278187964
kdj_j,-0.008536290367094003,-0.04705956167547891
hl_range,0.00779965861536218,-0.008990394797907692
mom_5,-0.007733348528143491,-0.04259306806074384
ma_bias_5,0.007038090030574403,-0.03971165091134432
pos_60,-0.006888483135730135,-0.003927508875456714
pos_20,-0.003309023742701847,-0.03258691049988038
rsi_14,-0.0024468860176097215,-0.023613208022611108
mom_1,0.001768326899391525,-0.03193278575734961
vol_ratio_5,0.001565112951339597,0.006598246838046481
rsi_6,0.0014637086475858762,-0.04116046251268498
logret_1,-6.191127109753629e-05,-0.03236264770838077
