,corr_with_yreg,corr_with_ycls
hl_range,0.12909427596058992,0.013635300550384002
vol_ratio_20,0.10758513771911518,0.027997076881822257
mom_1,0.09497181717155675,-0.020372003972579256
logret_1,0.08896278922957317,-0.020848899735096182
hl_range_ma5,0.07365689424767383,-0.02909738077170194
intraday,0.07318941876405755,-0.012117125581965538
vol_10,0.07153693803463493,-0.03094638841832026
vol_20,0.06829275518577134,-0.029510792849214037
vol_ratio_5,0.06802708169991602,0.048265198454885846
ma_bias_5,0.06473368628354197,-0.03976642346957783
boll_pctb,0.0632784933928811,0.013807213624863585
vol_5,0.06131092652953289,-0.009560876852403491
atr_14,0.05978803561941792,-0.044744897519640975
overnight,0.05402878350482901,-0.01951270598712887
pos_20,0.050272551550452266,0.023988212944740815
pv_corr_20,0.04478996028826226,0.02611155470446681
rsi_14,0.043294157810342064,-0.0147001192526377
vol_chg_1,0.04062400844115421,0.016524027327409156
pos_60,0.03866666108974897,-0.03792393647227418
mom_3,0.03836782005557673,-0.044765736994096625
rsi_6,0.03505400160528258,-0.011565977959625237
boll_width,0.03274517067712768,-0.04308627118659455
ma_bias_10,0.028882795528182913,-0.04014421066850257
ma_bias_20,0.027554499928343645,-0.03274566068829625
mom_10,0.027311065802233744,-0.023716541128209048
kdj_k,0.02400405778054607,0.011344041546517735
kdj_d,0.023832598372687135,0.021722258518480867
kdj_j,0.019736186677223398,-0.003122299526261916
logret_5,0.016708288551092996,-0.044284990061549546
mom_5,0.01645091015697557,-0.04635583871341906
macd_hist,0.015702837402520608,0.0048331752440304455
macd_dif,0.009817683879919938,-0.028241119984070567
ma_bias_60,0.009817645828135659,-0.05633838102700342
mom_20,0.007942091521911991,-0.042299185437982216
mom_60,0.007479802687306873,-0.05445456271494627
macd_dea,0.00553881973486823,-0.03176053773385298
ma10_ma60,0.003684992443616344,-0.045423047334102906
ma5_ma20,0.00016008010138397055,-0.017279876982865178
