,corr_with_yreg,corr_with_ycls
ma_bias_10,-0.059312291458168895,-0.056212132299902885
macd_hist,-0.05902426632726717,-0.045453495225602186
hl_range,-0.05637670134999229,-0.07766841268596965
ma_bias_20,-0.05397656076259323,-0.055080023652572245
intraday,0.051669215945483654,0.0092957465833131
logret_5,-0.050891270397521275,-0.04638749724437349
mom_5,-0.050722952427380265,-0.046850293863563965
mom_20,-0.0500990064063159,-0.06112959606025025
vol_ratio_5,-0.04666889580241439,-0.026844877380056434
mom_10,-0.04392514292265657,-0.04145047126246235
vol_chg_1,-0.0438495559345609,-0.030905211754980174
overnight,-0.04340508877535456,-0.03953027128253135
mom_3,-0.04314625019536452,-0.038099709668662496
ma5_ma20,-0.04293676356349711,-0.04369056068119049
ma_bias_5,-0.04216824090572359,-0.04473276599400742
vol_ratio_20,-0.024660168249338105,-0.0048663228482360744
ma_bias_60,-0.023822845384087483,-0.04332367860219558
pos_60,0.017424105820551324,-0.01441813557190684
kdj_j,-0.01696328998653878,-0.047149772146556294
mom_60,-0.015613421464776402,-0.037677633568732743
logret_1,-0.015497823066629682,-0.030120158443494343
mom_1,-0.015476542078553255,-0.03068211947114847
hl_range_ma5,-0.015309309186326796,-0.07579188831206707
macd_dif,-0.014109577154665296,-0.03351569118921635
vol_5,0.013464181969628253,-0.04935896891781183
atr_14,-0.012487263968141232,-0.09428909829952456
vol_10,0.011549612893832347,-0.05386663165260385
pv_corr_20,0.008636114983161714,-0.01869688315898207
boll_pctb,0.007338229979244109,-0.038974666420803536
rsi_6,0.006928091055011216,-0.04433460929845073
kdj_k,-0.006621154051001937,-0.048129826602594
rsi_14,0.005969885080735896,-0.03739937037676547
pos_20,0.00570182749989465,-0.04053027379060324
macd_dea,0.004262126327776036,-0.021077962561900428
kdj_d,0.0041642334904644085,-0.040157221376781
boll_width,0.003052214298698643,-0.058061677746156615
ma10_ma60,0.0016237056857649978,-0.024779826136375444
vol_20,-0.0004087973548909082,-0.07525918689772607
