,VIF
kdj_d,1000000.0
kdj_j,1000000.0
kdj_k,1000000.0
fin_np_ttm,35.04724473563511
fin_rev_ttm,34.996214936575356
overnight,33.073114441701804
fin_npm,20.850409580450815
fin_eps,4.682676505397905
atr_14,3.102679863136476
vol_20,1.911441167436872
fin_eps_chg,1.7430100714237604
vol_10,1.5887663651077735
hl_range_ma5,1.4701630299866772
vol_5,1.4078714490625914
boll_width,1.281908419884741
hl_range,1.21286292159978
mom_1,1.1851658969037757
logret_1,1.156433928204745
ma_bias_5,1.0962917221779183
mom_3,1.0576605329429167
ma_bias_10,1.0517394857136504
mom_60,1.0432722258494969
ma_bias_60,1.0386988673735553
mom_5,1.0384454079764005
rsi_14,1.0374113175145594
ma10_ma60,1.0365800760673392
pos_60,1.03476545159503
logret_5,1.033948382377464
macd_dea,1.0296574159946164
ma_bias_20,1.02957293819895
macd_dif,1.0253615406923493
boll_pctb,1.0211343145021174
rsi_6,1.0178544208884592
mom_10,1.0174337259562898
mom_20,1.0165398406145063
pv_corr_20,1.0165260373221296
vol_ratio_5,1.01422586493871
pos_20,1.0108823790556618
ma5_ma20,1.0097536349698166
vol_chg_1,1.0082012123364728
vol_ratio_20,1.0073647518157678
macd_hist,1.00387895746978
intraday,1.0025614455767962
