,count,mean,std,min,25%,50%,75%,max,skew,kurt
mom_1,1306.0,0.0005025961681547626,0.020270807057837976,-0.09345794392523377,-0.00990099009900991,0.0,0.009803921568627416,0.20253164556962022,1.7453400102056116,16.325319443659712
mom_3,1306.0,0.0015915040585722027,0.038571886914357416,-0.16666666666666663,-0.01904761904761909,0.0,0.018867924528301883,0.5616438356164382,3.867756764559271,47.33302662869086
mom_5,1306.0,0.00275174530802151,0.05035869808665898,-0.16666666666666663,-0.025862068965517238,0.0,0.023952380952380947,0.6285714285714286,3.6792059299618467,36.996541003881404
mom_10,1306.0,0.005178736465364643,0.06960271610829744,-0.16000000000000003,-0.03703703703703709,0.0,0.03296703296703285,0.6764705882352939,2.683856751657865,16.731874384125152
mom_20,1306.0,0.009056181716878726,0.10007239536793668,-0.22033898305084743,-0.05128205128205132,-0.010638297872340274,0.04991134751773052,0.5714285714285716,1.802663719471263,5.919128334439639
mom_60,1306.0,0.02246659920932767,0.16853889599761646,-0.32352941176470595,-0.08838535414165657,-0.023334690001356684,0.07601078167115893,0.7727272727272725,1.3631072508007303,1.788743792774493
logret_1,1306.0,0.0003014867108821656,0.019964141396108716,-0.09811785595852349,-0.009950330853168092,0.0,0.009756174945364656,0.18442903913351932,1.3359224061144441,12.504742452172739
logret_5,1306.0,0.0015980754083360716,0.04704323321048112,-0.1823215567939546,-0.026202372394024072,0.0,0.023670019315535556,0.4877032063451365,2.306397062877531,19.425555532787506
ma_bias_5,1306.0,0.000701053766201963,0.02335614254387689,-0.08123791102506657,-0.011516314779259748,0.0,0.011354442483071197,0.32250580046366273,3.114477745241228,36.35120831523458
ma_bias_10,1306.0,0.0016575606197041443,0.03607913903934788,-0.09260991580908098,-0.01861039118966551,-0.0017998711603002151,0.01777526777965402,0.4766839378232166,3.403684309899642,34.14222380998338
ma_bias_20,1306.0,0.0032217428209049613,0.053542884325078664,-0.1328934967010999,-0.029578773272419357,-0.003929209664845713,0.024968374018115712,0.5510204081625155,2.3179939513843046,14.998617150897251
ma_bias_60,1306.0,0.008226194823877665,0.09377487341475159,-0.22553191489342506,-0.04761904761900744,-0.012242112327659132,0.045990948214977845,0.5388076490431423,1.2714859142515245,2.5069534166260214
ma5_ma20,1306.0,0.002247042743152168,0.04103662924406511,-0.08737864077758495,-0.023056806079236908,-0.003300043530507113,0.019964314101138303,0.3205619412499099,1.9215117147393643,9.175000953884537
ma10_ma60,1306.0,0.005938059372092532,0.0776305510271158,-0.15619546247892135,-0.041523693452905464,-0.011761128190503567,0.04008037932063774,0.29646302250637113,1.0832709046976137,1.3937217879272699
vol_5,1306.0,0.016820800228781855,0.010577384757252012,0.0,0.010562920373063302,0.014809643073227616,0.019941127743982608,0.14326964775298923,4.214076721951477,35.23148412772767
vol_10,1306.0,0.017434122423696328,0.009877368356050388,0.005998197192989447,0.01196372246555609,0.015258159018220852,0.020003392094326024,0.10424297989247118,4.283090560233881,29.445345767801104
vol_20,1306.0,0.01780045235792702,0.009052115034665622,0.007576186573647841,0.012553691979532763,0.015836690846980736,0.019848134333266758,0.07587627320665999,3.6616346876009827,19.086035363291362
atr_14,1306.0,0.024324802773759608,0.00787408469127847,0.012129376692621412,0.018370471727638428,0.023253832337530457,0.02801906332889531,0.06288641863958236,1.448852485945961,3.4691988202251367
