,corr_with_yreg,corr_with_ycls
overnight,-0.08456068117665712,-0.03630772428407474
ma_bias_60,-0.07306318243368383,-0.08831950545172498
logret_1,-0.07150035073818987,-0.06983150238146393
mom_1,-0.07042677846787398,-0.06977289865687977
mom_60,-0.061530377219924576,-0.04506816466220562
ma10_ma60,-0.06012408752987268,-0.054991909679392575
rsi_14,-0.05665672188465831,-0.09088102995671922
macd_dea,-0.05658427195264609,-0.05752227840307717
macd_dif,-0.05554883735932727,-0.0767932796188163
rsi_6,-0.05375706027385334,-0.0853767273338851
mom_20,-0.052823309724077866,-0.09059523775840353
ma_bias_20,-0.052333145004478686,-0.09583540566071086
vol_ratio_20,-0.04870763664008066,-0.0623224126495199
ma_bias_5,-0.047516793604892256,-0.07326261694515042
ma_bias_10,-0.04533716976378668,-0.08899057987453547
pos_20,-0.04406047657294737,-0.06835690213269609
pos_60,-0.04126482020569148,-0.05675707013381557
logret_5,-0.04067542434227058,-0.08156549713816559
mom_5,-0.0399380924676273,-0.08121708287457455
vol_5,0.0386258137139281,-0.014043170564114428
ma5_ma20,-0.03742340838481377,-0.07867675783212912
mom_10,-0.03464423030079321,-0.08715836710147022
boll_pctb,-0.03413734974127489,-0.08192524571758647
kdj_j,-0.03389162815371885,-0.05639067402207073
kdj_k,-0.03203454598550609,-0.05127941764425568
mom_3,-0.029834148233427598,-0.06379463781736638
vol_10,0.029693671572629456,-0.04067194556731239
intraday,-0.027822128295709965,-0.04977879376586268
vol_chg_1,-0.027282392822449344,-0.020790873019640606
kdj_d,-0.024569713017681065,-0.037384034155769255
atr_14,0.023067714535258677,-0.014042888374959496
vol_20,0.021315379333128815,-0.026107697820412855
vol_ratio_5,-0.018623543570669747,-0.04195784715935711
hl_range_ma5,0.012681495642171628,-0.03838624226196417
macd_hist,-0.010847477715599593,-0.068128845851451
pv_corr_20,-0.006807621003515488,-0.0374909018612002
boll_width,0.004208931552139939,-0.042365742166389816
hl_range,0.002477996646463668,-0.05118899907897982
