model,accuracy,precision,recall,f1,auc,cm_tn,cm_fp,cm_fn,cm_tp
逻辑回归,0.986013986013986,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.9976939203354298,52,1,1,89
决策树,0.9440559440559441,0.9555555555555556,0.9555555555555556,0.9555555555555556,0.9383647798742139,49,4,4,86
随机森林,0.958041958041958,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9948637316561845,49,4,2,88
KNN,0.9790209790209791,0.967741935483871,1.0,0.9836065573770492,0.9923480083857442,50,3,0,90
