,VIF
kdj_k,1000000.0
macd_hist,1000000.0
kdj_j,1000000.0
kdj_d,1000000.0
macd_dea,1000000.0
macd_dif,1000000.0
ma_bias_20,11415.919625910003
ma5_ma20,7286.474802167102
mom_1,7087.941076580415
logret_1,5448.664391551746
intraday,4980.193474223458
ma_bias_60,4428.989922532192
ma10_ma60,3222.030786951219
mom_5,2668.764323392777
logret_5,2590.29941918317
ma_bias_5,2568.2707341328983
overnight,1282.1383045787431
ma_bias_10,1091.8089073413762
rsi_14,48.20808926986376
rsi_6,31.240903977755902
boll_pctb,23.500874923041792
pos_20,15.439720492565035
mom_3,12.679025704850353
mom_10,12.033866640463069
mom_20,11.25892945289197
atr_14,11.075710489196183
vol_20,8.712693385159108
pos_60,7.860418600534542
hl_range_ma5,7.530765166080781
vol_10,7.4727891876464945
boll_width,6.400769384764278
mom_60,4.9551732658302186
vol_5,4.70199597661143
vol_ratio_5,4.427843040446235
vol_ratio_20,3.165303089240606
hl_range,2.642515285680172
vol_chg_1,2.164914650523185
pv_corr_20,1.438432966324865
