code,name,algo,auc,buy_th,sell_th,max_pos,stop_loss,take_profit,strat_total,bh_total,excess_total,strat_cagr,bh_cagr,sharpe,mdd,calmar,trades,win_rate,avg_hold_ret,exposure
sh600900,长江电力,XGBoost,0.50116295362197,0.65,0.45,1.0,0.05,0.15,0.022872583697962856,0.006291635825312225,0.01658094787265063,0.015190843932413545,0.004190037839546745,0.7168435116789313,-0.01680346873534222,0.9040302434974696,14,0.4861111111111111,0.00036338791366867594,0.19047619047619047
sh600900,长江电力,Logistic回归,0.49813647190696364,0.55,0.45,1.0,0.08,0.15,0.008310024535659988,0.006291635825312225,0.0020183887103477627,0.005532371614009435,0.004190037839546745,0.47738278325872413,-0.01615595848920448,0.34243536944627595,7,0.4825174825174825,6.225202107754775e-05,0.3783068783068783
sh600900,长江电力,决策树,0.4976040353089533,0.55,0.5,1.0,0.05,0.15,0.007233753783737695,0.006291635825312225,0.0009421179584254702,0.0048167070037952175,0.004190037839546745,0.7924269370614463,-0.003907181470766963,1.2327830278253544,4,0.5714285714285714,0.001132537994717703,0.018518518518518517
hk00700,腾讯控股,随机森林,0.5475382003395586,0.55,0.45,0.8,0.05,0.15,0.0,-0.11580594679186351,0.11580594679186351,0.0,-0.12218432796917544,0.0,0.0,,0,,,0.0
hk00700,腾讯控股,XGBoost,0.5249717034521788,0.6,0.45,1.0,0.05,0.15,0.04339037436637616,-0.11580594679186351,0.15919632115823967,0.046000599148005916,-0.12218432796917544,1.8838462524135495,-0.005974207647703844,7.699866134664068,6,0.55,0.0021926648696863078,0.08403361344537816
hk00700,腾讯控股,GBDT,0.49858517260894164,0.55,0.45,1.0,0.08,0.15,0.058538805956191764,-0.11580594679186351,0.17434475274805528,0.06208707579577566,-0.12218432796917544,2.4267553849823393,-0.01074961464047175,5.775748980063061,8,0.6176470588235294,0.0017128738487636828,0.14285714285714285
sh518880,黄金ETF,Logistic回归,0.5738486842105263,0.55,0.45,1.0,0.05,0.15,0.01546962520014139,0.4627118644067796,-0.4472422392066382,0.010020230433319233,0.28017126957473204,0.9858006089889133,-0.007969130700584581,1.2573806114867951,7,0.5901639344262295,0.00026257570045622273,0.15721649484536082
sh518880,黄金ETF,随机森林,0.528015350877193,0.55,0.5,1.0,0.05,0.15,0.009197131878893261,0.4627118644067796,-0.4535147325278863,0.005963806254617232,0.28017126957473204,1.3029305365729933,-0.0037266526167714087,1.6003118261621028,6,0.75,0.0005990678277962951,0.041237113402061855
sh518880,黄金ETF,XGBoost,0.4898848684210526,0.65,0.45,1.0,0.05,0.15,0.050751582259374484,0.4627118644067796,-0.4119602821474051,0.03267568576063762,0.28017126957473204,0.6803340689499394,-0.06891792856478507,0.4741246064864155,17,0.5314285714285715,0.0003174091633436292,0.45103092783505155
sh515450,红利低波50ETF,决策树,0.5750869943453676,0.55,0.5,1.0,0.05,0.15,0.032764357683621625,0.030075187969919925,0.0026891697137017,0.02773191001334263,0.02546086025469374,2.1456120899100903,-0.004492241167779909,6.173290564239208,17,0.5,0.0011819609361438407,0.10101010101010101
