code,name,system,entry_n,exit_n,n_days,years,strat_total,strat_annual,bench_total,bench_annual,excess_annual,excess_total,sharpe,mdd,bench_mdd,calmar,n_trades,win_rate,pl_ratio,avg_win,avg_loss,avg_hold
sh518880,黄金ETF,System1,20,10,2000,7.94,0.36598262791884895,0.040078435949629565,2.1697416974169474,0.15645571852038542,-0.11637728257075586,-1.8037590694980985,0.43469958161421657,-0.16764327731092432,-0.3050420168067227,0.23906974733795597,44,0.5454545454545454,1.9936576215174944,0.03589211834090899,-0.018003150567843896,18.386363636363637
sh518880,黄金ETF,System2,55,20,2000,7.94,0.5083512618641175,0.05315262325983516,2.1697416974169474,0.15645571852038542,-0.10330309526055026,-1.66139043555283,0.5115734058457941,-0.1672268907563026,-0.3050420168067227,0.3178473451216272,27,0.6296296296296297,3.7303765475583486,0.04889976367741641,-0.013108532893126534,24.88888888888889
sz159941,纳指ETF,System1,20,10,2000,7.94,0.2494288936917668,0.028455854316909557,3.7647058823529074,0.21739790005980186,-0.1889420457428923,-3.5152769886611406,0.2709802222377947,-0.27387812171414794,-0.30000000000000027,0.10389969866453773,39,0.48717948717948717,3.304440415654106,0.0618881924738055,-0.018728796615797016,23.153846153846153
sz159941,纳指ETF,System2,55,20,2000,7.94,0.0411392395934056,0.005092681416570599,3.7647058823529074,0.21739790005980186,-0.21230521864323126,-3.7235666427595016,0.10513915339875197,-0.35736265185443616,-0.30000000000000027,0.014250737703404416,28,0.4642857142857143,1.879148595936307,0.050667333162950794,-0.026962919948172178,28.75
hk00700,腾讯控股,System1,20,10,2000,7.94,0.4551780666830092,0.048401017237365895,0.30932073044549124,0.034541225457279445,0.01385979178008645,0.14585733623751795,0.34659974437809393,-0.2506906908335116,-0.7667173995001182,0.19307066040800822,39,0.3333333333333333,2.9806356869889035,0.14315489831742428,-0.04802831118956445,19.128205128205128
hk00700,腾讯控股,System2,55,20,2000,7.94,0.8872239828129518,0.08331249987525124,0.30932073044549124,0.034541225457279445,0.0487712744179718,0.5779032523674605,0.5136497498067554,-0.20996606692208564,-0.7667173995001182,0.39679030567433027,11,0.8181818181818182,1.5579790856472213,0.13219129426266532,-0.08484792606041303,50.45454545454545
sh600900,长江电力,System1,20,10,2000,7.94,-0.16001707482101413,-0.02173148168703909,1.7714285714285616,0.13705288625551892,-0.158784367942558,-1.9314456462495757,-0.14545509538024212,-0.4240923950675304,-0.2460317460317457,-0.051242328180817004,43,0.3023255813953488,1.6079368239930276,0.06317453918441428,-0.03928919236237867,22.069767441860463
sh600900,长江电力,System2,55,20,2000,7.94,-0.10814511813097138,-0.014317449252046033,1.7714285714285616,0.13705288625551892,-0.15137033550756496,-1.879573689559533,-0.08150501985314959,-0.323780656763234,-0.2460317460317457,-0.044219594200513745,21,0.47619047619047616,0.878016355803241,0.046494690240825,-0.052954241607822874,35.95238095238095
sh515450,红利低波50ETF,System1,20,10,1543,6.12,-0.042998139406701164,-0.007152127062176938,1.410714285714278,0.15454631361836801,-0.16169844068054495,-1.4537124251209792,0.0011045961637462113,-0.16837785072708034,-0.1978021978021991,-0.04247665017276917,27,0.37037037037037035,2.3952727048767546,0.06073802633567282,-0.025357457717449343,26.074074074074073
sh515450,红利低波50ETF,System2,55,20,1543,6.12,-0.00935877249347239,-0.0015344766533308407,1.410714285714278,0.15454631361836801,-0.15608079027169885,-1.4200730582077505,0.033400084120821724,-0.15873446791896917,-0.1978021978021991,-0.009666940478952316,18,0.4444444444444444,1.3019250325551328,0.04944082844734099,-0.03797517307913604,27.72222222222222
sh588000,科创50ETF,System1,20,10,1367,5.42,0.5701661921089223,0.08672998661068143,0.45578231292516347,0.07168230242476414,0.015047684185917287,0.11438387918375881,0.5844645354334519,-0.16223654940731824,-0.5988023952095818,0.5345896897309699,19,0.6842105263157895,2.868782619666671,0.10240930473754636,-0.03569782667933393,21.57894736842105
sh588000,科创50ETF,System2,55,20,1367,5.42,0.3409745929334549,0.055575683330572945,0.45578231292516347,0.07168230242476414,-0.0161066190941912,-0.11480771999170858,0.42731458000845024,-0.16466466080098463,-0.5988023952095818,0.3375082610939956,10,0.6,4.312034115778279,0.145311522163756,-0.033699065977247894,22.6
sh510300,沪深300ETF,System1,20,10,2000,7.94,0.41644015227822617,0.0448428542606214,0.45783132530119897,0.04864168373391875,-0.0037988294732973493,-0.041391173022972794,0.42590495662879657,-0.15543345311955348,-0.4471243042671623,0.2885019496165345,37,0.2972972972972973,4.41408340080974,0.09395653794934572,-0.02128562816282762,19.35135135135135
sh510300,沪深300ETF,System2,55,20,2000,7.94,0.4218267183836222,0.04534267544705983,0.45783132530119897,0.04864168373391875,-0.0032990082868589177,-0.03600460691757679,0.4396267540337109,-0.19534254815871066,-0.4471243042671623,0.23211878760903695,17,0.47058823529411764,3.001737490132987,0.09774119323017197,-0.03256153929231224,33.64705882352941
sh510500,中证500ETF,System1,20,10,2000,7.94,0.28204093594589197,0.031800273038932625,0.6360225140713025,0.06398976122853028,-0.03218948818959766,-0.35398157812541053,0.3279830297071977,-0.19121600038981867,-0.4068965517241373,0.1663055025421703,39,0.38461538461538464,2.82672411756046,0.07877039624085765,-0.02786631909053744,20.23076923076923
sh510500,中证500ETF,System2,55,20,2000,7.94,0.07021466529226705,0.008586923439206862,0.6360225140713025,0.06398976122853028,-0.05540283778932342,-0.5658078487790354,0.13412990212014975,-0.23776562798870082,-0.4068965517241373,0.03611507479800626,23,0.21739130434782608,5.823558160243553,0.14154950310151287,-0.02430636033960258,22.91304347826087
