code,name,entry_n,exit_n,strat_annual,sharpe,mdd,n_trades,win_rate
sh518880,黄金ETF,10,5,0.028689317279207094,0.33204136606104523,-0.18396640500828976,74,0.3918918918918919
sh518880,黄金ETF,20,10,0.040078435949629565,0.43469958161421657,-0.16764327731092432,44,0.5454545454545454
sh518880,黄金ETF,30,15,0.06844599511191518,0.6197031070665283,-0.1672268907563026,29,0.6896551724137931
sh518880,黄金ETF,40,20,0.058744634018356834,0.5429491671075592,-0.16722689075630248,28,0.6785714285714286
sh518880,黄金ETF,55,27,0.09677565306034386,0.8186208113460237,-0.16848319327731087,21,0.5714285714285714
sh518880,黄金ETF,80,40,0.08369043280115895,0.7028322321718062,-0.24911512605042052,21,0.5714285714285714
sz159941,纳指ETF,10,5,0.015567996084617786,0.1858832130742905,-0.2547834616477114,66,0.3787878787878788
sz159941,纳指ETF,20,10,0.028455854316909557,0.2709802222377947,-0.27387812171414794,39,0.48717948717948717
sz159941,纳指ETF,30,15,0.02712311423842584,0.25843862532725953,-0.2967691694477381,34,0.4411764705882353
sz159941,纳指ETF,40,20,0.00815472687577623,0.1287258284977546,-0.35605990334751525,32,0.40625
sz159941,纳指ETF,55,27,0.0006286932432779668,0.07166197057905983,-0.37449964780498457,28,0.4642857142857143
sz159941,纳指ETF,80,40,-0.011167853445139042,-0.01896108482908553,-0.3604989463496606,25,0.48
sh510300,沪深300ETF,10,5,0.03419693575101235,0.3551164521165081,-0.17406394420886817,63,0.36507936507936506
sh510300,沪深300ETF,20,10,0.0448428542606214,0.42590495662879657,-0.15543345311955348,37,0.2972972972972973
sh510300,沪深300ETF,30,15,0.03152987877624458,0.33731510427669764,-0.1656510384707669,28,0.39285714285714285
sh510300,沪深300ETF,40,20,0.04517759168618962,0.4287758790174424,-0.22016691789800502,20,0.35
sh510300,沪深300ETF,55,27,0.041382630960362654,0.406447487873307,-0.2030372777636157,17,0.47058823529411764
sh510300,沪深300ETF,80,40,3.46054749758018e-05,0.04944371615095877,-0.26122276784742915,17,0.23529411764705882
