code,name,period_label,short,long,n_days,years,strat_total,strat_annual,bench_total,bench_annual,excess_annual,excess_total,sharpe,mdd,bench_mdd,n_trades,win_rate,pl_ratio
sh600900,长江电力,短线,5,20,2000,7.94,0.04587665186070411,0.00566778628197917,1.7714285714285616,0.13705288625551892,-0.13138509997353975,-1.7255519195678575,0.11800596206929442,-0.2870326061951253,-0.2460317460317457,68,0.4117647058823529,1.8367581943102336
sh600900,长江电力,中线,20,60,2000,7.94,0.5289958404697801,0.05495805940703957,1.7714285714285616,0.13705288625551892,-0.08209482684847935,-1.2424327309587815,0.38641622899048633,-0.3108874799603223,-0.2460317460317457,22,0.5909090909090909,1.6235266965932673
sh600900,长江电力,长线,60,120,2000,7.94,0.5999216520996513,0.061002575691922356,1.7714285714285616,0.13705288625551892,-0.07605031056359657,-1.1715069193289103,0.38390681628781614,-0.22817198860533516,-0.2460317460317457,11,0.5454545454545454,4.385039383381814
hk00700,腾讯控股,短线,5,20,2000,7.94,0.3526260082535937,0.03879151706624295,0.30932073044549124,0.034541225457279445,0.004250291608963508,0.04330527780810245,0.2752050705092552,-0.4674441535557543,-0.7667173995001182,59,0.3050847457627119,3.5692512904175726
hk00700,腾讯控股,中线,20,60,2000,7.94,0.04785417515542978,0.005907177191367907,0.30932073044549124,0.034541225457279445,-0.028634048265911538,-0.26146655529006146,0.1517873999257504,-0.5326315785079878,-0.7667173995001182,21,0.38095238095238093,1.9170124181333386
hk00700,腾讯控股,长线,60,120,2000,7.94,1.0908314280876836,0.09738797374233976,0.30932073044549124,0.034541225457279445,0.06284674828506032,0.7815106976421924,0.4953952533294078,-0.37671304723352284,-0.7667173995001182,5,0.8,2.4839550902888714
sh518880,黄金ETF,短线,5,20,2000,7.94,1.3631602399755143,0.11444884781281117,2.1697416974169474,0.15645571852038542,-0.04200687070757425,-0.8065814574414332,0.8883641274915233,-0.16722689075630248,-0.3050420168067227,63,0.4603174603174603,4.957335417347085
sh518880,黄金ETF,中线,20,60,2000,7.94,2.023844911329683,0.14960990933220697,2.1697416974169474,0.15645571852038542,-0.006845809188178453,-0.14589678608726464,1.0227174698697143,-0.24873949579831955,-0.3050420168067227,14,0.6428571428571429,10.694991679952174
sh518880,黄金ETF,长线,60,120,2000,7.94,1.9629303680855306,0.1466659121950833,2.1697416974169474,0.15645571852038542,-0.00978980632530213,-0.20681132933141688,0.9883424481025346,-0.24873949579831944,-0.3050420168067227,6,0.8333333333333334,10.486975366078724
sh515450,红利低波50ETF,短线,5,20,1543,6.12,0.3458975727371816,0.04971163437612569,1.410714285714278,0.15454631361836801,-0.10483467924224232,-1.0648167129770965,0.36973952012624006,-0.14949040211098175,-0.1978021978021991,50,0.4,2.6759339579669197
sh515450,红利低波50ETF,中线,20,60,1543,6.12,0.25118608624856353,0.03727626302521081,1.410714285714278,0.15454631361836801,-0.1172700505931572,-1.1595281994657145,0.3100082325323858,-0.32574269745332374,-0.1978021978021991,16,0.4375,2.1319527009983648
sh515450,红利低波50ETF,长线,60,120,1543,6.12,0.27296046034129207,0.0402031971871204,1.410714285714278,0.15454631361836801,-0.11434311643124762,-1.137753825372986,0.32386514594300775,-0.20966533446093416,-0.1978021978021991,6,0.5,3.736353308903394
sz159941,纳指ETF,短线,5,20,2000,7.94,1.8342583340899479,0.1402691338213935,3.7647058823529074,0.21739790005980186,-0.07712876623840836,-1.9304475482629595,0.7750434392049157,-0.2206912802256481,-0.30000000000000027,58,0.5172413793103449,3.232376278110353
sz159941,纳指ETF,中线,20,60,2000,7.94,0.956098088511071,0.08821628109566904,3.7647058823529074,0.21739790005980186,-0.12918161896413283,-2.808607793841836,0.5118725298667904,-0.343483325699535,-0.30000000000000027,17,0.5882352941176471,2.670217824122622
sz159941,纳指ETF,长线,60,120,2000,7.94,1.318285151327732,0.11175994634552522,3.7647058823529074,0.21739790005980186,-0.10563795371427664,-2.4464207310251753,0.5877388371060493,-0.30000000000000027,-0.30000000000000027,9,0.6666666666666666,3.2384144113839235
sh588000,科创50ETF,短线,5,20,1367,5.42,0.9416674249923209,0.13011768947237057,0.45578231292516347,0.07168230242476414,0.058435387047606424,0.48588511206715745,0.6117356220752173,-0.2778037882374359,-0.5988023952095818,38,0.4473684210526316,2.3729570316065316
sh588000,科创50ETF,中线,20,60,1367,5.42,0.052106785290953805,0.009407724852344312,0.45578231292516347,0.07168230242476414,-0.06227457757241983,-0.40367552763420966,0.1516428923013197,-0.4561098552318099,-0.5988023952095818,13,0.23076923076923078,3.9808157475864534
sh588000,科创50ETF,长线,60,120,1367,5.42,0.11735397141563597,0.020666221793671946,0.45578231292516347,0.07168230242476414,-0.0510160806310922,-0.3384283415095275,0.20225346100105443,-0.3626943220693125,-0.5988023952095818,5,0.2,6.505363969136156
sh510300,沪深300ETF,短线,5,20,2000,7.94,-0.10349008350551536,-0.013670682274428247,0.45783132530119897,0.04864168373391875,-0.062312366008347,-0.5613214088067143,-0.010126092963359807,-0.3533624762446387,-0.4471243042671623,70,0.3142857142857143,2.415310349487009
sh510300,沪深300ETF,中线,20,60,2000,7.94,0.06187853075295391,0.007593668613287141,0.45783132530119897,0.04864168373391875,-0.04104801512063161,-0.39595279454824506,0.126678907749683,-0.4214282541777732,-0.4471243042671623,24,0.4583333333333333,1.6790971431040007
sh510300,沪深300ETF,长线,60,120,2000,7.94,0.027824114409991996,0.003463936851012317,0.45783132530119897,0.04864168373391875,-0.04517774688290643,-0.43000721089120697,0.09662506743187234,-0.3809307483625547,-0.4471243042671623,9,0.4444444444444444,1.674584590478055
sh510500,中证500ETF,短线,5,20,2000,7.94,0.6896602302789594,0.06832335349153662,0.6360225140713025,0.06398976122853028,0.004333592263006336,0.053637716207656894,0.4907205518311792,-0.26251821383256724,-0.4068965517241373,58,0.41379310344827586,2.4679541787323984
sh510500,中证500ETF,中线,20,60,2000,7.94,-0.01299704247868494,-0.0016470048242607227,0.6360225140713025,0.06398976122853028,-0.065636766052791,-0.6490195565499874,0.07282480614669024,-0.4314313001496318,-0.4068965517241373,20,0.3,2.4705232958710623
sh510500,中证500ETF,长线,60,120,2000,7.94,0.30011449831243553,0.03362185086237468,0.6360225140713025,0.06398976122853028,-0.030367910366155604,-0.335908015758867,0.28442280802790176,-0.41168903974212634,-0.4068965517241373,11,0.45454545454545453,2.0510396604921373
