,count,mean,std,min,25%,50%,75%,max
open,242.0,27.570082644628098,0.9233301589102042,25.65,26.93,27.505000000000003,28.0475,30.61
high,242.0,27.725495867768593,0.9148706697159469,25.94,27.134999999999998,27.689999999999998,28.18,30.79
low,242.0,27.404462809917355,0.9259244122947392,25.38,26.7525,27.37,27.9,30.4
close,242.0,27.562727272727273,0.9177868925208007,25.65,26.942500000000003,27.555,28.0675,30.61
vol,242.0,996514.8614049586,434110.5228091386,300805.76,718186.585,902586.44,1146435.88,2927500.88
amount,242.0,2737287.334409091,1166672.3252171923,831149.451,1956586.7145,2443241.2195,3171835.49275,7941387.446
pct_chg,242.0,-0.027716115702479335,0.7590716532722369,-2.9965,-0.473925,-0.03655,0.375975,2.0545
